"","x"
"889",79.5
"890",78.6
"891",76.6
"892",76.5
"893",79
"894",79.2
"895",78.1
"896",77.4
"897",77.5
"898",76.8
"899",77
"900",76.8
"901",76.8
"902",76.6
"903",76.5
"904",76.1
"905",75.7
"906",75.7
"907",76.1
"908",78.3
"909",79.5
"910",79.5
"911",80.6
"912",80.6
"913",81
"914",81.3
"915",80.8
"916",79.7
"917",77.2
"918",76.6
"919",76.3
"920",76.1
"921",75.9
"922",75.4
"923",75.6
"924",74.8
"925",74.7
"926",75
"927",75.2
"928",75
"929",75.9
"930",77.5
"931",77.2
"932",77.2
"933",77.5
"934",77.9
"935",78.6
"936",78.3
"937",78.6
"938",79.2
"939",79
"940",78.8
"941",78.6
"942",78.4
"943",78.4
"944",78.6
"945",78.6
"946",78.4
"947",78.3
"948",76.5
"949",75.7
"950",77.4
"951",78.3
"952",78.1
"953",78.6
"954",78.6
"955",78.8
"956",79.3
"957",79.9
"958",79.7
"959",79.9
"960",79.9
"961",79.9
"962",80.1
"963",80.1
"964",79.9
"965",79.5
"966",79.2
"967",79.5
"968",79.2
"969",77.9
"970",77.9
"971",77.9
"972",78.1
"973",77.9
"974",78.1
"975",78.3
"976",78.3
"977",79.5
"978",81.7
"979",82.9
"980",84.2
"981",83.8
"982",82.8
"983",82.9
"984",82.2
"985",83.1
"986",81.5
"987",80.6
"988",79
"989",78.4
"990",78.1
"991",78.6
"992",78.4
"993",78.6
"994",78.1
"995",77.5
"996",77.5
"997",77.9
"998",78.4
"999",77.9
"1000",78.4
"1001",79.5
"1002",80.2
"1003",81
"1004",81.9
"1005",81.7
"1006",81.3
"1007",81.5
"1008",81.5
"1009",81.9
"1010",81.1
"1011",80.1
"1012",79
"1013",79.5
"1014",79.2
"1015",76.5
"1016",77.5
"1017",77.7
"1018",77.4
"1019",76.5
"1020",76.1
"1021",76.5
"1022",76.3
"1023",76.1
"1024",77.9
"1025",79.3
"1026",80.2
"1027",81.1
"1028",81.3
"1029",82.2
"1030",81.3
"1031",82.6
"1032",82.6
"1033",81.9
"1034",81.1
"1035",80.4
"1036",78.3
"1037",76.5
"1038",75.7
"1039",76.8
"1040",77.5
"1041",77.7
"1042",77.4
"1043",76.3
"1044",75.9
"1045",75.7
"1046",75.7
"1047",75.7
"1048",78.1
"1049",79.2
"1050",80.1
"1051",80.2
"1052",80.6
"1053",81.7
"1054",82.2
"1055",82.6
"1056",82.6
"1057",81
"1058",80.8
"1059",79.7
"1060",79
"1061",78.1
"1062",77.7
"1063",77.7
"1064",77.4
"1065",77.9
"1066",77
"1067",77.4
"1068",77.5
"1069",77.2
"1070",77.5
"1071",77.7
"1072",79.2
"1073",80.1
"1074",81
"1075",81
"1076",82.6
"1077",82.9
"1078",82.2
"1079",81.7
"1080",81.1
"1081",81.1
"1082",81.5
"1083",80.1
"1084",79.2
"1085",78.4
"1086",78.3
"1087",78.3
"1088",77.5
"1089",77.9
"1090",77
"1091",76.6
"1092",76.3
"1093",76.1
"1094",76.1
"1095",76.5
"1096",77.7
"1097",79.5
"1098",79.5
"1099",80.1
"1100",80.2
"1101",81.1
"1102",80.4
"1103",80.6
"1104",81.1
"1105",81.9
"1106",80.4
"1107",78.4
"1108",78.1
"1109",77.5
"1110",77.9
"1111",77.9
"1112",77.5
"1113",76.8
"1114",77
"1115",76.8
"1116",76.8
"1117",76.6
"1118",76.6
"1119",77.2
"1120",79.3
"1121",80.4
"1122",79.9
"1123",80.8
"1124",79.7
"1125",79.9
"1126",81
"1127",79.3
"1128",80.2
"1129",79.7
"1130",79
"1131",78.3
"1132",77.9
"1133",77.7
"1134",77.5
"1135",77.5
"1136",77.4
"1137",77
"1138",76.1
"1139",75.9
"1140",75.4
"1141",75.6
"1142",75.7
"1143",77
"1144",78.8
"1145",79.9
"1146",79.9
"1147",80.6
"1148",81.1
"1149",80.8
"1150",80.8
"1151",81.1
"1152",79.9
"1153",79.3
"1154",78.6
"1155",78.1
"1156",77.9
"1157",77.9
"1158",76.8
"1159",76.1
"1160",76.6
"1161",76.8
"1162",77.7
"1163",77
"1164",76.1
"1165",77.9
"1166",78.4
"1167",79.7
"1168",79.7
"1169",80.8
"1170",80.6
"1171",81.3
"1172",81.5
"1173",81.3
"1174",80.6
"1175",79.7
"1176",79.7
"1177",79.2
"1178",79
"1179",78.8
"1180",79
"1181",79
"1182",78.6
"1183",78.4
"1184",78.3
"1185",78.1
"1186",76.3
"1187",78.3
"1188",78.1
"1189",78.6
"1190",79.2
"1191",79.9
"1192",80.8
"1193",81
"1194",81.9
"1195",81.7
"1196",81.5
"1197",81.9
"1198",80.8
"1199",80.1
"1200",79.5
"1201",79
"1202",78.4
"1203",78.4
"1204",78.1
"1205",78.1
"1206",78.1
"1207",77.7
"1208",77.7
"1209",77.7
"1210",77.4
"1211",77.5
"1212",75
"1213",76.8
"1214",78.3
"1215",79
"1216",79.5
"1217",79.7
"1218",80.4
"1219",80.6
"1220",73.4
"1221",78.3
"1222",79
"1223",79.2
"1224",78.6
"1225",78.6
"1226",78.3
"1227",78.3
"1228",78.3
"1229",78.1
"1230",78.1
"1231",76.1
"1232",77.7
"1233",77.9
"1234",77.7
"1235",77.7
"1236",78.4
"1237",79
"1238",79.3
"1239",80.2
"1240",80.4
"1241",81.1
"1242",81.9
"1243",81.5
"1244",81.9
"1245",81.1
"1246",80.2
"1247",79.5
"1248",79.3
"1249",79
"1250",78.8
"1251",77.9
"1252",77.9
"1253",74.8
"1254",73.4
"1255",76.6
"1256",78.1
"1257",78.1
"1258",78.3
"1259",78.8
"1260",79.3
"1261",80.1
"1262",81
"1263",81.3
"1264",82
"1265",81.5
"1266",82.4
"1267",82
"1268",80.1
"1269",79.9
"1270",79.3
"1271",79.3
"1272",79.2
"1273",79.2
"1274",79.2
"1275",79
"1276",77
"1277",78.4
"1278",78.4
"1279",78.3
"1280",78.3
"1281",78.3
"1282",78.8
"1283",79.2
"1284",80.4
"1285",81
"1286",81.5
"1287",81.5
